First Name,Money Available,Last Name,TicketMiner Membership,Username,ID,Password,User Type,Concerts Purchased
Angela,,Walker,false,angelawalker,543,Fun!23,Admin,0
Alexis,2913597.39,Reta,true,alexisreta,75,Fun!23,Customer,0
Alexis,2316072.69,Black,true,alexisblack,771,Fun!23,Customer,0
Alexander,1799509.91,Carter,true,alexandercarter,531,Fun!23,Customer,0
Alexander,1625607.71,Kelly,false,alexanderkelly,232,Fun!23,Customer,0
Alyssa,,Kelly,false,alyssakelly,791,Fun!23,Organizer,0
Alan,1702713.65,Gamez,true,alangamez,52,Fun!23,Customer,0
Allison,,Chang,false,allisonchang,275,Fun!23,Organizer,0
Amanda,,Baker,false,amandabaker,1037,Fun!23,Organizer,0
Amanda,,Miller,false,amandamiller,207,Fun!23,Organizer,0
Alyssa,,Smith,false,alyssasmith,592,Fun!23,Organizer,0
Alexandra,2157205.09,Simpson,false,alexandrasimpson,781,Fun!23,Customer,0
Ali,1790899.54,Nouri,true,alinouri,38,Fun!23,Customer,0
Angela,,Lang,false,angelalang,504,Fun!23,Admin,0
Alexis,1872986.92,Shea,false,alexisshea,448,Fun!23,Customer,0
Angela,,Carney,false,angelacarney,743,Fun!23,Admin,0
Alexandra,2304322.42,Fox,false,alexandrafox,462,Fun!23,Customer,0
Allison,,Weaver,false,allisonweaver,731,Fun!23,Organizer,0
Aladdin,1329016.97,Disney,true,aladdindisney,11,Fun!23,Customer,0
Adam,1159697.17,Bass,false,adambass,417,Fun!23,Customer,0
Alexander,2733978.82,Wilson,true,alexanderwilson,850,Fun!23,Customer,0
Alexandra,2856865.5,Cook,true,alexandracook,958,Fun!23,Customer,0
Alexandra,2817672.19,Robinson,false,alexandrarobinson,292,Fun!23,Customer,0
Angela,,English,false,angelaenglish,1032,Fun!23,Admin,0
Alyssa,,Poole,false,alyssapoole,674,Fun!23,Organizer,0
Alicia,2367693.69,Jenkins,true,aliciajenkins,384,Fun!23,Customer,0
Alexis,1927607.8,Ford,false,alexisford,251,Fun!23,Customer,0
Allison,,Cross,false,allisoncross,403,Fun!23,Organizer,0
Amanda,,Johnson,false,amandajohnson,913,Fun!23,Organizer,0
Amanda,,Shepherd,false,amandashepherd,331,Fun!23,Organizer,0
jacob,,luna,false,jlun33,1038,1234,Organizer,0
Adam,2484415.98,Maldonado,false,adammaldonado,296,Fun!23,Customer,0
Alejandra,1570979.69,Morris,true,alejandramorris,249,Fun!23,Customer,0
Alex,1336987.47,Vega,false,alexvega,87,Fun!23,Customer,0
Alyssa,,Reese,false,alyssareese,470,Fun!23,Organizer,0
Angelica,,Bruce,false,angelicabruce,269,Fun!23,Admin,0
Angela,,Mcintyre,false,angelamcintyre,473,Fun!23,Admin,0
Alexander,1017102.04,Cameron,false,alexandercameron,332,Fun!23,Customer,0
